_projectid,_teacher_acctid,_schoolid,school_ncesid,school_latitude,school_longitude,school_city,school_state,school_zip,school_metro,school_district,school_county,school_charter,school_magnet,school_year_round,school_nlns,school_kipp,school_charter_ready_promise,teacher_prefix,teacher_teach_for_america,teacher_ny_teaching_fellow,primary_focus_subject,primary_focus_area,secondary_focus_subject,secondary_focus_area,resource_type,poverty_level,grade_level,vendor_shipping_charges,sales_tax,payment_processing_charges,fulfillment_labor_materials,total_price_excluding_optional_support,total_price_including_optional_support,students_reached,total_donations,num_donors,eligible_double_your_impact_match,eligible_almost_home_match,funding_status,date_posted,date_completed,date_thank_you_packet_mailed,date_expiration
"""860a820a2fdff95e929e8ff0f5dd7791""","""47e6d01874205519055e1425a3534814""","""8a25e28428241a0833c9fb507c0ec7c0""",3.60E+11,40.819344,-73.91964,Bronx,BA,10451,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Ms.,f,f,Music,Music & The Arts,Performing Arts,Music & The Arts,Supplies,highest poverty,Grades 3-5,,,,,5914.25,7212.5,0,6709,19,f,f,completed,7/17/2003,1/14/2004,3/15/2004,3/17/2004
"""498dba6d2084a78fc1c2db6838069b3a""","""7149a71ed485bc4da9a9388e6507cd3d""","""67c49362a19734d92385423d2176c2e1""",3.60E+11,40.815349,-73.955189,New York,BA,10027,urban,Leadership Learning Support Organization,New York (Manhattan),f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,,,Books,highest poverty,Grades 6-8,,,,,207.83,253.45,0,240,1,f,f,completed,7/22/2003,9/24/2003,11/26/2003,3/22/2004
"""a6015634b02989509da15c8eca7fe399""","""51bab2cae96effe7a4d6aedfc09961f2""","""83cfadbe0e00c5442e8a4a44b2455e83""",3.60E+11,40.645821,-74.001663,Brooklyn,BA,11232,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,,,Supplies,highest poverty,Grades PreK-2,,,,,198.54,242.12,0,231,2,f,f,completed,7/17/2003,9/18/2003,11/13/2003,5/31/2006
"""9cb58831a68824f7bf843edb4c068d1f""","""ddbca8f91752f6d5cd310dc90a8f29cf""","""6a473d053faa74b62614f2339357278e""",3.60E+11,40.736507,-73.812935,Flushing,BA,11367,urban,New York City Dept Of Ed,Queens,f,t,f,f,f,f,Ms.,f,f,Literature & Writing,Literacy & Language,,,Supplies,highest poverty,Grades PreK-2,,,,,145.55,177.5,0,168,1,f,f,completed,8/4/03,11/4/03,1/13/2004,4/4/04
"""e6417eb49c6332514c3b8917d2e33ad9""","""1ecb553894e6232b49743abb34d154ed""","""45e7ddbdd7023f1eb65a6cc028d7414f""",3.60E+11,40.841691,-73.875457,Bronx,BA,10460,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Ms.,f,f,Mathematics,Math & Science,,,Supplies,highest poverty,Grades 9-12,,,,,538.13,656.26,0,619,1,f,f,completed,7/17/2003,2/11/04,7/13/2004,3/17/2004
"""b593a67ac33a5cf2e619d5195b905627""","""74da3c08315e4c7e6d56fc2aef548910""","""2abc913fb54650dc1f611a1b6c8847c9""",3.60E+11,40.84822,-73.903632,Bronx,BA,10457,urban,New York City Dept Of Ed,Bronx,f,f,f,t,f,f,Mr.,t,f,Other,Applied Learning,Performing Arts,Music & The Arts,Technology,highest poverty,Grades 3-5,,,,,442.8,540,0,510,1,f,f,completed,8/6/03,1/5/04,2/25/2004,6/1/05
"""73562e79eed51fcdadd8c343f9362e1a""","""bbc9af8b43b5f12d4a5e9e575c1a57f4""","""e8f248ca2a39957f0e40a98ef3525768""",3.60E+11,40.66293,-73.981194,Brooklyn,BA,11215,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,f,f,f,f,Ms.,f,f,Other,Applied Learning,,,Other,moderate poverty,Grades PreK-2,,,,,0,0,0,0,0,f,f,expired,9/2/03,,,5/2/04
"""fb7fc67e4b595443c6209c50bdbf30a7""","""9c75bd5c551d98ecef6bb419390ee425""","""ba54e9bfc11ea8b99c6b6517e3121101""",3.60E+11,40.688519,-73.971131,Brooklyn,BA,11205,urban,New York City Dept Of Ed,Kings (Brooklyn),f,t,f,t,f,f,Ms.,f,f,Literature & Writing,Literacy & Language,Literacy,Literacy & Language,Technology,highest poverty,Grades 6-8,,,,,417.18,508.76,0,480,1,f,f,completed,7/18/2003,5/18/2004,8/17/2004,3/18/2004
"""3314380903754bf9af4d0ace015fec6f""","""4e5a15dfc7323dc78c518f77e8fd59ac""","""906db3b4864f6502bea0392909d27afe""",3.60E+11,40.649203,-74.012325,Brooklyn,BA,11220,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,f,f,f,f,Ms.,f,f,Other,Applied Learning,,,Other,highest poverty,Grades PreK-2,,,,,0,0,0,0,0,f,f,expired,7/18/2003,,,3/18/2004
"""9e7d61a0419a7614ae0ef9237f43decd""","""3a6d4ab90b1960efcfa165c53ccbd40c""","""6b51f38f4ba82b4df685a240c1a803ac""",3.60E+11,40.852597,-73.893902,Bronx,BA,10457,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Ms.,f,f,History & Geography,History & Civics,,,Supplies,highest poverty,Grades 3-5,,,,,357.98,436.56,0,412,1,f,f,completed,8/24/2003,12/2/03,6/1/04,4/24/2004
"""92526e0fd4733504d0d0101b09806bbb""","""93b3b98a3ca0f552f8fc255c92e923b1""","""fa41acd10184d294408ce44bb7f1d2bf""",3.60E+11,40.695243,-73.959708,Brooklyn,BA,11205,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,,,Supplies,highest poverty,Grades 3-5,,,,,59.76,72.88,0,69,1,f,f,completed,8/4/03,8/11/03,6/30/2004,4/4/04
"""d450cf4b9277abc9c7f7f5f0149ff64d""","""eccf0e4356b9e9e27b3c6ee2fd5b365f""","""5f6eab9bafea4d10b64f3d1eeccd19dd""",3.60E+11,40.642044,-74.085434,Staten Island,BA,10301,urban,New York City Dept Of Ed,Richmond (Staten Island),f,f,f,f,f,f,Mrs.,f,f,Literature & Writing,Literacy & Language,Literacy,Literacy & Language,Books,highest poverty,Grades PreK-2,,,,,60.99,74.38,0,71,1,f,f,completed,8/4/03,8/11/03,11/20/2003,4/4/04
"""772c8d66ebc8ca78b42829b806db9b47""","""c13562dbac741d76c9be258fde69181b""","""742eec8f308b7257a2088c20173c27e1""",3.60E+11,40.866903,-73.890568,Bronx,BA,10458,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,,,Supplies,highest poverty,Grades 3-5,,,,,232.68,283.76,0,265,3,f,f,completed,7/22/2003,8/12/03,11/24/2003,3/22/2004
"""a71a0bc6219425847cb2f43f7aec00f3""","""f2afb7261002517e17b6b08ead3d14e0""","""5f6eab9bafea4d10b64f3d1eeccd19dd""",3.60E+11,40.642044,-74.085434,Staten Island,BA,10301,urban,New York City Dept Of Ed,Richmond (Staten Island),f,f,f,f,f,f,Mrs.,f,f,Applied Sciences,Math & Science,,,Supplies,highest poverty,Grades PreK-2,,,,,210.95,257.26,0,243,1,f,f,completed,7/21/2003,8/11/03,1/13/2004,9/30/2003
"""71ce6865f8e86d5aa45817f084aead80""","""59a365f35b41dd668130fd144e10d60b""","""9c7e5ceeabc970710da96e2bf8c61789""",,40.836655,-73.937113,NEW YORK,BA,10032,,,New York (Manhattan),f,f,f,f,f,f,Ms.,t,f,Literacy,Literacy & Language,Literature & Writing,Literacy & Language,Books,highest poverty,Grades 6-8,,,,,144.53,176.26,0,167,1,f,f,completed,8/6/03,8/18/2003,1/12/04,4/6/04
"""c5bb184180c1aa8b736720c9911a7bd9""","""d575639ca5e2dc9475b4ee799d1e9dae""","""d86a90558cc3bb327393900dae942a9d""",3.60E+11,40.806587,-73.950976,New York,BA,10027,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Ms.,f,t,Early Development,Applied Learning,Literacy,Literacy & Language,Supplies,highest poverty,Grades 3-5,,,,,948.54,1156.76,0,1091,1,f,f,completed,7/21/2003,11/4/03,3/16/2004,9/30/2003
"""fa96a1ab26c837ad3679c283bca19d71""","""59a365f35b41dd668130fd144e10d60b""","""9c7e5ceeabc970710da96e2bf8c61789""",,40.836655,-73.937113,NEW YORK,BA,10032,,,New York (Manhattan),f,f,f,f,f,f,Ms.,t,f,Other,Applied Learning,,,Other,highest poverty,Grades PreK-2,,,,,0,0,0,0,0,f,f,completed,1/18/2004,1/28/2004,,9/18/2004
"""6a779199782a6706612debe7e730800a""","""59a365f35b41dd668130fd144e10d60b""","""9c7e5ceeabc970710da96e2bf8c61789""",,40.836655,-73.937113,NEW YORK,BA,10032,,,New York (Manhattan),f,f,f,f,f,f,Ms.,t,f,Literacy,Literacy & Language,,,Books,highest poverty,Grades 6-8,,,,,296.23,361.26,0,297,1,f,f,completed,8/6/03,11/19/2003,2/25/2004,4/6/04
